strategy,swarm_size,runs,mean_surviving_drones,mission_completion_probability,mean_target_coverage,mean_mission_cost
single_route,10,5000,5.626,0.32,0.5626,1405604.0
multiple_routes,10,5000,6.117,0.4232,0.6117,1346648.0
decoy_lead,10,5000,5.698,0.582,0.7123,1131419.0
distributed_routing,10,5000,6.968,0.6452,0.6968,1222874.0
single_route,20,5000,11.175,0.2096,0.5587,2527578.0
multiple_routes,20,5000,12.196,0.3108,0.6098,2461654.0
decoy_lead,20,5000,11.411,0.5048,0.7132,2091310.0
distributed_routing,20,5000,13.991,0.599,0.6996,2290632.0
single_route,40,5000,22.35,0.124,0.5588,4702747.0
multiple_routes,40,5000,24.344,0.224,0.6086,4622846.0
decoy_lead,40,5000,22.776,0.547,0.7118,3915843.0
distributed_routing,40,5000,27.9,0.5568,0.6975,4403103.0
single_route,80,5000,44.792,0.0772,0.5599,8989526.0
multiple_routes,80,5000,48.711,0.1612,0.6089,8888729.0
decoy_lead,80,5000,45.526,0.6062,0.7113,7574617.0
distributed_routing,80,5000,55.91,0.5446,0.6989,8589053.0
